model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"38536","tatra","T87","","1941","","","2968","8","V","2","75","3500","","","","","","Gasoline","","","Rear","Manual","","","1370","4750","1680","1510","2860","","","","","0","","Tatra","Tatra","Czech Republic"
"39813","toyota","AA","","1941","","","3389","6","in-line","2","65","3000","","","","","","Gasoline","","","","","","","1600","4760","1760","1760","2860","","","","","0","","Toyota","Toyota","Japan"
"40664","trabant","P 70","","1955","","","690","2","in-line","","22","3500","54","3500","","","","Gasoline","","","","","","","850","3750","1510","1490","2390","","","","","0","","Trabant","Trabant","Germany"
"40771","triumph","1800","","1946","","Front","1774","4","in-line","","65","4400","","","73.0","106.0","6.7:1","","129","","Rear","","2","2","1092","4290","1660","","2550","","","","","1","","Triumph","Triumph","UK"
"41008","tvr","Grantura","","1958","","Front","1216","4","in-line","2","83","6000","","","","","","Gasoline","","","","","","","660","","","","","","","","","0","","TVR","TVR","UK"
"41353","vauxhall","Wyvern","","1951","","Front","1507","4","in-line","","","","","","","","","Gasoline","","","Rear","Manual","","","1030","4350","1700","1620","2730","","","","","0","","Vauxhall","Vauxhall","Germany"
"41396","vector","Wiegert","Vector W8 Twin Turbo","1991","Coupe","Middle","5973","8","V","2","653","","854","","101.6","91.4","8.0:1","","352","","Rear","Automatic","2","2","1550","4380","2090","1070","2620","","","","","1","","Vector","Vector","Japan"
"41444","venturi","Cabriolet","","1985","Convertible","Front","2458","6","in-line","","200","5750","297","2500","","","","Gasoline","","","Rear","Manual","","","1295","4100","1710","1180","2410","","","","","0","","Venturi","Venturi","France"
"42110","volkswagen","Schwimmwagen","","1941","","","1131","4","in-line","2","","","","","","","","Gasoline","","","","","","","900","3830","","","2010","","","","","0","","Volkswagen","Volkswagen","Germany"
"44094","wartburg","311","1","1955","","Front","992","3","in-line","2","50","","98","3000","73.6","78.0","","Gasoline","","","","","5","","970","4310","1580","1460","2460","","","","","1","","Wartburg","Wartburg","Germany"
"44129","westfield","ZEI","","1982","","","1993","4","in-line","4","220","6250","292","4250","","","","Gasoline","","","Rear","Manual","","","725","3550","1570","1060","2340","","","","","0","","Westfield","Westfield","UK"
"44152","willys-overland","Jeep","MB","1941","SUV","Front","2197","4","in-line","","54","","129","2000","79.4","111.1","6.5:1","","","","4WD","Manual","4","2","1113","3330","1580","1840","2040","","","","","1","","Willys-Overland","Willys-Overland","USA"
"44160","xedos","6","","1993","","Front","1993","6","V","4","140","6000","170","5000","","","","Gasoline","","","Front","Manual","","","1195","4570","1710","1360","2620","","","","","0","","Xedos","Xedos","Japan"
"44168","zagato","Ferrari 3Z","","1972","","Front","2953","12","V","2","254","7500","","","73.1","58.8","9.2:1","","","","Rear","Manual","2","2","","4530","1700","1290","2410","","","","","0","","Zagato","Zagato","Italy"
"44188","zastava","750","","1962","","","766","4","in-line","","24","4800","46","3000","","","","Gasoline","","","Rear","Manual","","","605","3300","1390","1410","2010","","","","","0","","Zastava","Zastava","Serbia"
"50649","zenvo","ST1","","2009","Coupe","Middle","7000","8","V","","1119","6900","1430","4500","","","","Gasoline","375","3.0","Rear","Manual","2","2","1376","4665","2041","1198","3055","","","","","1","","Zenvo","Zenvo","Denmark"
