'id_car_option_value','id_car_option','id_car_equipment','is_base','date_create','date_update','id_car_type'
'17594','1053','282','0','1464484346','1464845183','1'
'17595','1054','282','1','1464484346','1464484346','1'
'17596','2','283','1','1464484347','1464484347','1'
'17597','3','283','1','1464484347','1464484347','1'
'17598','977','283','1','1464484347','1464484347','1'
'17599','978','283','1','1464484347','1464484347','1'
'17600','979','283','1','1464484347','1464484347','1'
'17601','70','283','1','1464484347','1464484347','1'
'17602','980','283','1','1464484347','1464484347','1'
'17603','981','283','1','1464484347','1464484347','1'
'17604','982','283','1','1464484347','1464484347','1'
'17605','759','283','1','1464484347','1464484347','1'
'17606','983','283','1','1464484347','1464484347','1'
'17607','984','283','1','1464484347','1464484347','1'
'17608','985','283','1','1464484347','1464484347','1'
'17609','986','283','1','1464484347','1464484347','1'
'17610','614','283','1','1464484347','1464484347','1'
'17611','987','283','1','1464484347','1464484347','1'
'17612','957','283','1','1464484347','1464484347','1'
'17613','156','283','1','1464484347','1464484347','1'
'17614','494','283','1','1464484347','1464484347','1'
'17615','988','283','1','1464484347','1464484347','1'
'17616','958','283','1','1464484347','1464484347','1'
'17617','989','283','1','1464484347','1464484347','1'
'17618','855','283','1','1464484347','1464484347','1'
'17619','990','283','1','1464484347','1464484347','1'
'17620','991','283','1','1464484347','1464484347','1'
'17621','992','283','1','1464484347','1464484347','1'
'17622','499','283','1','1464484347','1464484347','1'
'17623','253','283','1','1464484347','1464484347','1'
'17624','993','283','1','1464484347','1464484347','1'
'17625','13','283','1','1464484347','1464484347','1'
'17626','994','283','1','1464484347','1464484347','1'
'17627','995','283','1','1464484347','1464484347','1'
'17628','996','283','0','1464484347','1464845184','1'
'17629','997','283','0','1464484347','1464845184','1'
'17630','998','283','1','1464484347','1464484347','1'
'17631','999','283','1','1464484347','1464484347','1'
'17632','1055','283','1','1464484347','1464484347','1'
'17633','1000','283','1','1464484347','1464484347','1'
'17634','19','283','1','1464484347','1464484347','1'
'17635','1001','283','1','1464484347','1464484347','1'
'17636','1002','283','1','1464484347','1464484347','1'
'17637','143','283','1','1464484347','1464484347','1'
'17638','960','283','1','1464484347','1464484347','1'
'17639','1003','283','1','1464484347','1464484347','1'
'17640','83','283','1','1464484347','1464484347','1'
'17641','1004','283','1','1464484347','1464484347','1'
'17642','1005','283','0','1464484347','1464845184','1'
'17643','1006','283','0','1464484347','1464845184','1'
'17644','1007','283','0','1464484347','1464845184','1'
'17645','1008','283','0','1464484348','1464845184','1'
'17646','1009','283','0','1464484348','1464845184','1'
'17647','1010','283','1','1464484348','1464484348','1'
'17648','1011','283','1','1464484348','1464484348','1'
'17649','1012','283','1','1464484348','1464484348','1'
'17650','1013','283','1','1464484348','1464484348','1'
'17651','1014','283','1','1464484348','1464484348','1'
'17652','25','283','1','1464484348','1464484348','1'
'17653','1015','283','1','1464484348','1464484348','1'
'17654','1016','283','1','1464484348','1464484348','1'
'17655','1017','283','1','1464484348','1464484348','1'
'17656','1018','283','1','1464484348','1464484348','1'
'17657','213','283','1','1464484348','1464484348','1'
'17658','31','283','1','1464484348','1464484348','1'
'17659','1019','283','1','1464484348','1464484348','1'
'17660','1020','283','1','1464484348','1464484348','1'
'17661','339','283','1','1464484348','1464484348','1'
'17662','896','283','1','1464484348','1464484348','1'
'17663','1021','283','1','1464484348','1464484348','1'
'17664','185','283','1','1464484348','1464484348','1'
'17665','1022','283','1','1464484348','1464484348','1'
'17666','200','283','1','1464484348','1464484348','1'
'17667','218','283','1','1464484348','1464484348','1'
'17668','1023','283','1','1464484348','1464484348','1'
'17669','1024','283','1','1464484348','1464484348','1'
'17670','1025','283','1','1464484348','1464484348','1'
'17671','1026','283','1','1464484348','1464484348','1'
'17672','455','283','1','1464484348','1464484348','1'
'17673','1056','283','1','1464484348','1464484348','1'
'17674','409','283','1','1464484348','1464484348','1'
'17675','202','283','1','1464484348','1464484348','1'
'17676','1057','283','1','1464484348','1464484348','1'
'17677','1027','283','1','1464484348','1464484348','1'
'17678','1028','283','1','1464484348','1464484348','1'
'17679','1029','283','1','1464484348','1464484348','1'
'17680','1030','283','1','1464484348','1464484348','1'
'17681','589','283','1','1464484348','1464484348','1'
'17682','1031','283','1','1464484348','1464484348','1'
'17683','1032','283','1','1464484348','1464484348','1'
'17684','1033','283','1','1464484348','1464484348','1'
'17685','1034','283','1','1464484348','1464484348','1'
'17686','1035','283','1','1464484348','1464484348','1'
'17687','1036','283','1','1464484348','1464484348','1'
'17688','945','283','1','1464484348','1464484348','1'
'17689','1037','283','1','1464484348','1464484348','1'
'17690','1038','283','1','1464484348','1464484348','1'
'17691','1039','283','1','1464484348','1464484348','1'
'17692','1040','283','1','1464484348','1464484348','1'
'17693','78','283','1','1464484348','1464484348','1'
'17695','130','283','1','1464484348','1464484348','1'
'17696','1041','283','1','1464484348','1464484348','1'
'17697','1042','283','1','1464484348','1464484348','1'
'17698','901','283','1','1464484348','1464484348','1'
'17699','232','283','1','1464484348','1464484348','1'
'17700','1043','283','1','1464484348','1464484348','1'
'17701','1044','283','1','1464484348','1464484348','1'
'17702','1045','283','1','1464484348','1464484348','1'
'17703','1046','283','1','1464484348','1464484348','1'
'17704','1047','283','1','1464484348','1464484348','1'
'17705','86','283','1','1464484348','1464484348','1'
'17706','1048','283','1','1464484348','1464484348','1'
'17707','472','283','1','1464484348','1464484348','1'
'17708','235','283','1','1464484348','1464484348','1'
'17709','236','283','1','1464484348','1464484348','1'
'17710','1049','283','1','1464484348','1464484348','1'
'17711','216','283','1','1464484348','1464484348','1'
'17712','176','283','1','1464484348','1464484348','1'
'17713','1050','283','1','1464484348','1464484348','1'
'17714','1051','283','1','1464484348','1464484348','1'
'17715','1052','283','0','1464484348','1464845185','1'
'17716','1053','283','0','1464484348','1464845185','1'
'17717','1054','283','1','1464484348','1464484348','1'
'17718','2','284','1','1464484349','1464484349','1'
'17719','3','284','1','1464484349','1464484349','1'
'17720','4','284','1','1464484349','1464484349','1'
'17721','978','284','1','1464484349','1464484349','1'
'17722','70','284','1','1464484349','1464484349','1'
'17724','6','284','1','1464484349','1464484349','1'
'17725','1058','284','1','1464484349','1464484349','1'
'17726','759','284','1','1464484349','1464484349','1'
'17727','983','284','1','1464484349','1464484349','1'
'17728','985','284','1','1464484349','1464484349','1'
'17729','1059','284','1','1464484349','1464484349','1'
'17730','7','284','1','1464484349','1464484349','1'
'17731','957','284','1','1464484349','1464484349','1'
'17732','494','284','1','1464484349','1464484349','1'
'17733','9','284','1','1464484349','1464484349','1'
'17734','958','284','1','1464484349','1464484349','1'
'17735','1060','284','1','1464484349','1464484349','1'
'17736','855','284','1','1464484349','1464484349','1'
'17737','1061','284','1','1464484349','1464484349','1'
'17738','1062','284','1','1464484349','1464484349','1'
'17739','252','284','1','1464484349','1464484349','1'
'17740','499','284','1','1464484349','1464484349','1'
'17741','1063','284','1','1464484349','1464484349','1'
'17742','253','284','1','1464484349','1464484349','1'
'17743','993','284','1','1464484349','1464484349','1'
'17744','13','284','1','1464484349','1464484349','1'
'17745','14','284','1','1464484349','1464484349','1'
'17746','15','284','1','1464484349','1464484349','1'
'17747','1064','284','1','1464484349','1464484349','1'
'17748','400','284','1','1464484349','1464484349','1'
'17749','997','284','1','1464484349','1464484349','1'
'17750','861','284','1','1464484349','1464484349','1'
'17751','999','284','1','1464484349','1464484349','1'
'17752','255','284','1','1464484349','1464484349','1'
'17753','1000','284','1','1464484349','1464484349','1'
'17754','19','284','1','1464484349','1464484349','1'
'17755','1065','284','1','1464484349','1464484349','1'
'17756','143','284','1','1464484349','1464484349','1'
